unit,unit_name,word,pos,ipa,meaning_vi,definition_en,example_en,example_answer,topics
2,City life,terrible,Adj,/ˈterəbl/,khủng kiếp,,The service at the restaurant was terrible last night.,terrible,
2,City life,polluted,Adj,/pəˈluːtɪd/,bị ô nhiễm,,The air quality in the city is heavily polluted.,polluted,
2,City life,unreliable,Adj,/ˌʌnrɪˈlaɪəbl/,không đáng tin,,I find the local buses to be quite unreliable.,unreliable,
2,City life,ugly,Adj,/ˈʌɡli/,xấu xí,,The old building was considered ugly by many people.,ugly,
2,City life,pricey,Adj,/ˈpraɪsi/,đắt đỏ,,Dining out in the city center is usually quite pricey.,pricey,
2,City life,modern,Adj,/ˈmɒdn/,hiện đại,,The new apartment building is very modern and stylish.,modern,
2,City life,attractive,Adj,/əˈtræktɪv/,hấp dẫn,,The city's waterfront park is particularly attractive.,attractive,
2,City life,traffic light,N,/ˈtræf.ɪk ˌlaɪt/,đèn giao thông,,You need to stop when the traffic light turns red.,traffic light,
2,City life,traffic safety,N,/ˈtræfɪk ˈseɪfti/,an toàn giao thông,,The city's traffic safety measures have improved significantly.,traffic safety,
2,City life,traffic flow,N,/ˈtræfɪk floʊ/,dòng chảy giao thông,,The new traffic lights have helped to improve traffic flow.,traffic flow,
2,City life,traffic jam,N,/'træfɪk dʒæm/,tắc nghẽn giao thông,,There was a major traffic jam on the highway this morning.,traffic jam,
2,City life,entertainment centre,N,/ˌentərˈteɪnmənt ˈsentər/,trung tâm giải trí,,The entertainment centre offers a variety of activities for all ages.,entertainment centre,
2,City life,itchy eyes,N,/ˈɪtʃi aɪz/,ngứa mắt,,The pollution made my eyes feel itchy all day.,,
2,City life,rush hour,N,/ˈrʌʃ ˌaʊr/,giờ cao điểm,,The traffic is much worse during rush hour.,rush hour,
2,City life,noisy,Adj,/ˈnɔɪzi/,ồn ào,,The construction site next to my apartment is very noisy.,noisy,
2,City life,dusty,Adj,/ˈdʌsti/,bụi,,The street was covered in dust after the construction work.,,
2,City life,downtown,Adv,/ˌdaʊnˈtaʊn/,ở trung tâm thành phố,,We decided to shop downtown for the best deals.,downtown,
2,City life,sky train,N,/skaɪ treɪn/,tàu trên cao,,The sky train provides a scenic view of the city.,sky train,
2,City life,metro,N,/ˈmetrəʊ/,tàu điện ngầm,,Taking the metro is the fastest way to get across town.,metro,
2,City life,concrete jungle,N,/ˈkɒnkriːt ˈdʒʌŋɡl/,khu rừng bê-tông (thành phố),,The city's skyline is often referred to as a concrete jungle.,concrete jungle,
2,City life,public amenities,N,/ˈpʌblɪk əˈmenətiz/,tiện ích công cộng,,The new park has excellent public amenities.,public amenities,
2,City life,liveable,Adj,/ˈlɪvəbl/,đáng sống,,"Despite its size, the city is quite liveable.",liveable,
2,City life,public transport,N,/ˈpʌblɪk ˈtrænspɔːt/,phương tiện công cộng,,Using public transport helps reduce traffic congestion.,public transport,
2,City life,high crime rate,N,/haɪ kraɪm reɪt/,tỷ lệ tội phạm cao,,Some neighborhoods are known for their high crime rate.,high crime rate,
2,City life,careful,Adj,/ˈkeəfl/,cẩn thận,,Be careful when crossing the busy streets.,careful,
2,City life,dangerous,Adj,/ˈdeɪn.dʒər.əs/,nguy hiểm,,Crossing the street without looking is dangerous.,dangerous,
2,City life,convenient,Adj,/kənˈviːniənt/,thuận tiện,,Living near the subway is very convenient.,convenient,
2,City life,peaceful,Adj,/ˈpiːsfəl/,bình yên,,The countryside is more peaceful than the city.,peaceful,
2,City life,coastal city,N,/ˈkoʊstl ˈsɪti/,thành phố ven biển,,Many tourists visit this beautiful coastal city.,coastal city,
2,City life,chairman,N,/ˈtʃeərmən/,"chủ tịch, chủ tọa",,The chairman of the company gave a speech.,chairman,
2,City life,come down with,PV,/kʌm daʊn wɪð/,chịu đựng,,She came down with the flu last week.,,
2,City life,hang out with,PV,/hæŋ aʊt wɪð/,đi chơi,,I like to hang out with my friends on weekends.,hang out with,
2,City life,sore throat,N,/sɔː θrəʊt/,đau họng,,He has a sore throat and can't speak well.,sore throat,
2,City life,air pollution,N,/ˈeə pəˌluː.ʃən/,ô nhiễm không khí,,Air pollution is a serious problem in big cities.,air pollution,
2,City life,noise pollution,N,/nɔɪz pəˈluːʃən/,ô nhiễm tiếng ồn,,Traffic causes a lot of noise pollution.,noise pollution,
2,City life,immigrant,N,/ˈɪmɪɡrənt/,người nhập cư,,Many immigrants come to this country for better opportunities.,,
2,City life,bus line,N,/bʌs laɪn/,làn đường dành cho xe bus,,This bus line goes directly to the city center.,bus line,
2,City life,means of transport,N,/miːnz əv ˈtrænspɔːt/,phương tiện giao thông,,Bicycles are an eco-friendly means of transport.,means of transport,
2,City life,(get) stuck,PV,/ɡet stʌk/,bị kẹt,,We got stuck in traffic for an hour.,,
2,City life,arrival,N,/əˈraɪvl/,điểm đến,,The arrival of the train was delayed.,arrival,
2,City life,food waste,N,/fuːd weɪst/,lãng phí thức ăn,,Restaurants are trying to reduce food waste.,food waste,
2,City life,learning space,N,/ˈlɜːrnɪŋ speɪs/,không gian học,,The library provides a quiet learning space for students.,learning space,
2,City life,leftover,N,/ˈleftəʊvə(r)/,thức ăn thừa,,We ate the leftovers from yesterday's dinner.,,
2,City life,cafeteria,N,/ˌkæfəˈtɪəriə/,quán ăn tự phục vụ,,The school cafeteria serves lunch every day.,cafeteria,
2,City life,turn something into something,PV,/tɜːrn ˈsʌmθɪŋ ˈɪntu ˈsʌmθɪŋ/,biến/ chuyển hoá cái gì thành cái gì,,They turned the old factory into a museum.,,
2,City life,unsafe,Adj,/ʌnˈseɪf/,không an toàn,,This bridge is unsafe and needs repairs.,unsafe,
2,City life,city authority,N,/ˈsɪtiɔːˈθɒrəti/,chính quyền thành phố,,The city authorities are planning to build a new park.,,
2,City life,drop-off and pick-up time,N,/drɒp ɒf ænd pɪk ʌp taɪm/,thời gian đưa đón,,Parents must follow the school's drop-off and pick-up times.,,
2,City life,pavement,N,/ˈpeɪvmənt/,vỉa hè,,People were walking on the pavement.,pavement,
2,City life,green space,N,/ɡriːn speɪs/,không gian xanh,,The city needs more green spaces for recreation.,,
2,City life,Wake up,phr.v,/weɪk ʌp/,Thức dậy,,,,
2,City life,Turn on,phr.v,/tɜːrn ɒn/,Bật (thiết bị),,,,
2,City life,Turn off,phr.v,/tɜːrn ɒf/,Tắt (thiết bị),,,,
2,City life,Look for,phr.v,/lʊk fɔːr/,Tìm kiếm,,,,
2,City life,Give up,phr.v,/ɡɪv ʌp/,Từ bỏ,,,,
2,City life,Take off,phr.v,/teɪk ɒf/,"Cởi (quần áo), cất cánh (máy bay)",,,,
2,City life,Put on,phr.v,/pʊt ɒn/,"Mặc (quần áo), đeo (phụ kiện)",,,,
2,City life,Get along,phr.v,/ɡɛt əˈlɔːŋ/,"Hòa hợp, có quan hệ tốt",,,,
2,City life,Run out of,phr.v,/rʌn aʊt ʌv/,"Hết, cạn kiệt",,,,
2,City life,Pick up,phr.v,/pɪk ʌp/,"Đón (ai đó), nhặt lên",,,,
2,City life,Call back,phr.v,/kɔːl bæk/,Gọi lại,,,,
2,City life,Bring up,phr.v,/brɪŋ ʌp/,"Đề cập (đề tài), nuôi dưỡng",,,,
2,City life,Check out,phr.v,/tʃɛk aʊt/,"Kiểm tra, xem xét, trả phòng",,,,
2,City life,Fill out,phr.v,/fɪl aʊt/,Điền vào (form),,,,
2,City life,Come over,phr.v,/kʌm ˈoʊvər/,Ghé thăm,,,,
2,City life,Take care of,phr.v,/teɪk keə(r) ʌv/,Chăm sóc,,,,
2,City life,Look after,phr.v,/lʊk ˈæftər/,Chăm sóc,,,,
2,City life,Set up,phr.v,/sɛt ʌp/,"Thiết lập, chuẩn bị",,,,
2,City life,Put up with,phr.v,/pʊt ʌp wɪð/,Chịu đựng,,,,
2,City life,Try out,phr.v,/traɪ aʊt/,Thử nghiệm,,,,
2,City life,Look after,phr.v,/lʊk ˈæftər/,"chăm sóc, trông nom",,,,
2,City life,Get by,phr.v,/ɡɛt baɪ/,xoay xở,,,,
2,City life,Give away,phr.v,/ɡɪv əˈweɪ/,"tặng, cho đi",,,,
2,City life,Run into,phr.v,/rʌn ˈɪntuː/,gặp tình cờ,,,,
2,City life,Look forward to,phr.v,/lʊk ˈfɔːrwəd tʊ/,"mong chờ, háo hức",,,,
2,City life,Go on,phr.v,/ɡoʊ ɒn/,tiếp tục,,,,
2,City life,Work out,phr.v,/wɜːrk aʊt/,"tập thể dục, giải quyết",,,,
2,City life,Take over,phr.v,/teɪk ˈoʊvər/,tiếp quản,,,,
2,City life,Make up,phr.v,/meɪk ʌp/,"bịa đặt, làm hòa",,,,
2,City life,Keep up,phr.v,/kiːp ʌp/,"theo kịp, duy trì",,,,
3,Healthy living for teens,Healthy living,(n),/ˈhelθiˈlɪvɪŋ/,lối sống lành mạnh,,Practicing yoga is an important aspect of healthy living.,Healthy living,
3,Healthy living for teens,Physical health,(n),/ˈfɪz.ɪ.kəl helθ/,sức khỏe thể chất,,Regular sleep is crucial for maintaining good physical health.,Physical health,
3,Healthy living for teens,Mental health,(n),/ˈmentl helθ/,sức khỏe tinh thần,,Meditation can greatly improve your mental health.,Mental health,
3,Healthy living for teens,Maintain,(v),/meɪnˈteɪn/,duy trì,,"To avoid injury, it's important to maintain proper posture.",Maintain,
3,Healthy living for teens,Healthy diet,(n),/ə ˈhelθi ˈdaɪət/,chế độ ăn lành mạnh,,A healthy diet helps boost your energy levels.,Healthy diet,
3,Healthy living for teens,Do exercise,(v),/duː ekˈsəˌsaɪz/,tập thể dục,,I always do exercise after a long day at work.,Do exercise,
3,Healthy living for teens,Counsellor,(n),/ˈkaʊnsələ(r)/,người cố vấn,,A career counsellor can guide you through your job search.,Counsellor,
3,Healthy living for teens,Reduce stress,(v),/rɪˈdjuːs strɛs/,giảm căng thẳng,,Spending time in nature helps to reduce stress.,Reduce stress,
3,Healthy living for teens,Look after,(phr.v),/lʊk ˈɑːftə(r)/,chăm sóc,,She looks after her younger brother while their parents are at work.,,
3,Healthy living for teens,Well-balanced life,(n),/welˈbælənst laɪf/,cuộc sống cân bằng,,Pursuing hobbies and work in equal measure can lead to a well-balanced life.,Well-balanced life,
3,Healthy living for teens,Balance,(n),/ˈbæləns/,cân bằng,,Finding the right balance between work and leisure is essential.,Balance,
3,Healthy living for teens,Priority,(n),/praɪˈɒrəti/,ưu tiên,,Your health should always be a priority.,Priority,
3,Healthy living for teens,Give priority,(v),/ɡɪv praɪˈɒrəti/,"ưu tiên, đặt lên hàng đầu",,We need to give priority to resolving these issues before moving forward.,Give priority,
3,Healthy living for teens,Work out,(v),/wɜːk aʊt/,tập thể dục,,They work out at the gym three times a week.,Work out,
3,Healthy living for teens,Achieve,(v),/əˈtʃiːv/,"đạt được, hoàn thành",,She achieved her dream of becoming a doctor through hard work.,,
3,Healthy living for teens,Manage time,(v),/ˈmænɪdʒ taɪm/,quản lý thời gian,,Effective time management can lead to better productivity.,,
3,Healthy living for teens,Try,(v),/traɪ/,"cố gắng, thử",,Try to arrive early for your appointment to avoid any delays.,Try,
3,Healthy living for teens,Accomplish,(v),/əˈkʌmplɪʃ/,"hoàn thành, đạt được",,He accomplished his goal of learning a new language in six months.,,
3,Healthy living for teens,Delay,(v),/dɪˈleɪ/,"trì hoãn, hoãn lại",,The flight was delayed due to bad weather.,,
3,Healthy living for teens,Due date,(n),/djuː deɪt/,"hạn chót, ngày đến hạn",,The due date for the assignment is next Tuesday.,Due date,
3,Healthy living for teens,Optimistic,(adj),/ˌɒptɪˈmɪstɪk/,lạc quan,,She has an optimistic view of the future.,Optimistic,
3,Healthy living for teens,Stressed out,(adj),/strest aʊt/,căng thẳng,,He felt stressed out about the upcoming exam.,Stressed out,
3,Healthy living for teens,Distraction,(n),/dɪˈstrækʃn/,"sự xao nhãng, sự mất tập trung",,Turning off notifications can help minimize distractions.,,
3,Healthy living for teens,Intend,(v),/ɪnˈtend/,"có ý định, dự định",,I intend to visit Paris next summer.,Intend,
3,Healthy living for teens,Wait for,(phr.v),/weɪt fɔːr/,chờ đợi,,We will wait for your decision before proceeding.,Wait for,
3,Healthy living for teens,Gain weight,(v),/ɡeɪn weɪt/,tăng cân,,Eating high-calorie foods can cause you to gain weight.,Gain weight,
3,Healthy living for teens,Fast food,(n),/fɑːst fuːd/,đồ ăn nhanh,,Avoiding fast food can lead to better overall health.,Fast food,
3,Healthy living for teens,Stay up late,(phr.v),/steɪ ʌp leɪt/,ngủ muộn,,Staying up late can affect your performance the next day.,,
3,Healthy living for teens,Awake,(adj),/əˈweɪk/,tỉnh táo,,Drinking coffee helps me stay awake during long meetings.,Awake,
3,Healthy living for teens,Complete,(v),/kəmˈpliːt/,hoàn thành,,Please complete the form and submit it by Friday.,Complete,
3,Healthy living for teens,Get burnt,(v),/ɡet bɜːnt/,bị cháy nắng,,Apply sunscreen to avoid getting burnt.,,
3,Healthy living for teens,Effectively,(adv),/ɪˈfektɪvli/,có hiệu quả,,You need to study effectively to pass the exams.,Effectively,
3,Healthy living for teens,Train,(v),/treɪn/,luyện tập,,She trains every day to become a better athlete.,,
3,Healthy living for teens,Shoulder pain,(n),/ˈʃəʊldə peɪn/,đau vai,,He experienced shoulder pain after lifting heavy weights.,Shoulder pain,
3,Healthy living for teens,Punish,(v),/ˈpʌn.ɪʃ/,trừng phạt,,It's important not to punish children in anger.,Punish,
3,Healthy living for teens,Get through,(v),/ɡɛt θruː/,vượt qua,,She managed to get through the difficult times with support.,Get through,
3,Healthy living for teens,Lose weight,(v),/luːz weɪt/,giảm cân,,Regular exercise helps to lose weight effectively.,Lose weight,
3,Healthy living for teens,Invite,(v),/ɪnˈvaɪt/,mời,,We are planning to invite our friends to a summer barbecue.,Invite,
3,Healthy living for teens,Finish,(v),/ˈfɪnɪʃ/,kết thúc,,She finished the book in just two days.,,
3,Healthy living for teens,Ingredient,(n),/ɪnˈɡriːdiənt/,thành phần,,The recipe requires several basic ingredients.,,
3,Healthy living for teens,Praise,(v),/preɪz/,"tán dương, khen thưởng",,The coach praised the team for their hard work.,,
3,Healthy living for teens,Encourage,(v),/ɪnˈkʌrɪdʒ/,khuyến khích,,Teachers should encourage students to express their ideas.,Encourage,
3,Healthy living for teens,Difficulty,(n),/ˈdɪfɪkəlti/,khó khăn,,She faced difficulty understanding the complex instructions.,Difficulty,
3,Healthy living for teens,Thankful,(adj),/ˈθæŋkfl/,biết ơn,,I am thankful for the support of my friends during tough times.,Thankful,
3,Healthy living for teens,Happiness,(n),/ˈhæpinəs/,sự hạnh phúc,,Spending time in nature brings me true happiness.,Happiness,
3,Healthy living for teens,Instead of,(phr),/ɪnˈstɛd ʌv/,thay vì,,"Instead of watching TV, you could read a book.",Instead of,
3,Healthy living for teens,No matter,(phr),/noʊ ˈmætər/,không quan trọng,,"No matter the obstacles, he never gave up.",No matter,
3,Healthy living for teens,Properly,(adv),/ˈprɒpəli/,đúng cách,,The machine should be operated properly to avoid accidents.,Properly,
3,Healthy living for teens,Come up with,(phr.v),/kʌm ʌp wɪð/,"nghĩ ra, đưa ra",,We need to come up with new ideas for the project.,Come up with,
3,Healthy living for teens,Combination,(n),/ˌkɒmbɪˈneɪʃn/,sự kết hợp,,A combination of exercise and a healthy diet is essential.,Combination,
3,Healthy living for teens,Differentiate,(v),/ˌdɪfərˈɛnʃieɪt/,phân biệt,,It's important to differentiate between fact and opinion.,Differentiate,
3,Healthy living for teens,Efficiently,(adv),/ɪˈfɪʃəntli/,hiệu quả,,The team worked efficiently to complete the project on time.,Efficiently,
4,Remembering the past,remember,(v),/rɪˈmembə(r)/,nhớ,,It’s important to remember the lessons learned from history.,remember,
4,Remembering the past,temple complex,(n),/ə ˈtempl ˈkɒmpleks/,khu phức hợp đền,,The temple complex includes several ancient structures.,temple complex,
4,Remembering the past,religious monument,(n),/rɪˈlɪdʒəs ˈmɒnjumənt/,đài tưởng niệm tôn giáo,,The religious monument attracts scholars from around the world.,religious monument,
4,Remembering the past,visitor,(n),/ˈvɪz.ɪ.tər/,khách du lịch,,Each visitor to the museum receives a map of the exhibits.,visitor,
4,Remembering the past,World Heritage Site,(n),/wɜːld ˈherɪtɪdʒ saɪt/,Di sản Thế giới,,The site is recognized as a World Heritage Site by UNESCO.,World Heritage Site,
4,Remembering the past,communal house,(n),/ˈkɒmjʊnl haʊs/,đình làng,,The communal house hosts various village ceremonies.,communal house,
4,Remembering the past,national historic site,(n),/ˈnæʃənəl hɪˈstɒrɪk saɪt/,di sản quốc gia,,The site preserves artifacts from our national history.,,
4,Remembering the past,magnificent,(adj),/mæɡˈnɪfɪsnt/,tráng lệ,,The castle’s magnificent architecture left everyone in awe.,magnificent,
4,Remembering the past,castle,(n),/ˈkɑːsl/,lâu đài,,The castle was built in the 12th century and is still standing.,castle,
4,Remembering the past,future generation,(n),/ˈfjuːtʃər ˌdʒenəˈreɪʃənz/,thế hệ tương lai,,We must ensure our actions benefit future generations.,,
4,Remembering the past,occupy,(v),/ˈɒkjupaɪ/,chiếm giữ,,The fort was occupied by the enemy during the war.,,
4,Remembering the past,thanks to,(adv),/θæŋks tuː/,nhờ vào,,"Thanks to the volunteers, the park was cleaned up quickly.",thanks to,
4,Remembering the past,dedicated,(adj),/ˈdedɪkeɪtɪd/,tận tâm,,The dedicated team worked day and night to finish the project.,dedicated,
4,Remembering the past,rebuild,(v),/ˌriːˈbɪld/,xây dựng lại,,"After the earthquake, efforts were made to rebuild the damaged city.",rebuild,
4,Remembering the past,damage,(v),/ˈdæmɪdʒ/,phá hủy,,The storm caused severe damage to many historic buildings.,damage,
4,Remembering the past,natural disaster,(n),/ˈnætʃrəl dɪˈzɑːstə(r)/,thiên tai,,Natural disasters often disrupt historical preservation efforts.,,
4,Remembering the past,worship,(v),/ˈwɜːʃɪp/,thờ cúng,,Many people worship at the ancient shrine during festivals.,worship,
4,Remembering the past,contribution,(n),/ˌkɒntrɪˈbjuːʃn/,sự đóng góp,,His contribution to the heritage project was invaluable.,contribution,
4,Remembering the past,decide,(v),/dɪˈsaɪd/,quyết định,,The committee decided to preserve the old building.,,
4,Remembering the past,discover,(v),/dɪˈskʌvə(r)/,phát hiện ra,,The team discovered new artifacts during the excavation.,,
4,Remembering the past,promote,(v),/prəˈməʊt/,thúc đẩy,,The campaign aims to promote awareness about cultural heritage.,promote,
